Event	Name	p_x	p_y	p_z	Data Source
2572	p-	0.949	0.061	0.195	run1.dat
2573	K-	0.577	0.676	0.558	run9.dat
2574	K-	0.732	0.630	0.106	run3.dat
2575	mu-	0.200	0.487	0.089	run9.dat
2576	pi+	0.642	0.845	0.323	run1.dat
2577	p+	0.508	0.732	0.456	run7.dat
2578	p+	0.697	0.752	0.568	run4.dat
2579	p-	0.049	0.287	0.963	run2.dat
2580	pi-	0.049	0.673	0.468	run9.dat
2581	K-	0.084	0.728	0.133	run9.dat
2582	e-	0.822	0.733	0.659	run1.dat
2583	e-	0.115	0.789	0.328	run2.dat
2584	mu+	0.002	0.213	0.081	run5.dat
2585	pi+	0.080	0.831	0.380	run3.dat
2586	mu+	0.281	0.444	0.610	run9.dat
2587	e+	0.455	0.085	0.073	run6.dat
2588	mu-	0.248	0.524	0.397	run6.dat
2589	K+	0.353	0.668	0.709	run1.dat
2590	pi-	0.350	0.472	0.869	run2.dat
2591	K+	0.929	0.906	0.467	run5.dat
2592	mu+	0.018	0.887	0.098	run2.dat
2593	e+	0.693	0.616	0.868	run8.dat
2594	e+	0.611	0.823	0.107	run4.dat
2595	mu-	0.190	0.686	0.583	run5.dat
2596	p+	0.542	0.125	0.072	run5.dat
2597	p-	0.030	0.430	0.704	run5.dat
2598	K-	0.284	0.719	0.955	run3.dat
2599	e-	0.357	0.083	0.871	run8.dat
2600	mu+	0.035	0.201	0.412	run8.dat
2601	K+	0.770	0.398	0.236	run4.dat
2602	e-	0.399	0.594	0.332	run5.dat
2603	pi-	0.782	0.341	0.340	run5.dat
2604	p+	0.042	0.047	0.999	run9.dat
2605	mu+	0.428	0.811	0.281	run4.dat
2606	p-	0.563	0.575	0.253	run6.dat
2607	p-	0.454	0.647	0.387	run8.dat
2608	pi-	0.493	0.704	0.690	run9.dat
2609	mu+	0.920	0.213	0.879	run2.dat
2610	pi+	0.731	0.286	0.780	run4.dat
2611	K-	0.319	0.748	0.085	run5.dat
2612	pi-	0.188	0.442	0.480	run5.dat
2613	mu+	0.801	0.603	0.771	run6.dat
2614	e+	0.109	0.058	0.229	run7.dat
2615	K-	0.297	0.367	0.789	run1.dat
2616	pi-	0.137	0.612	0.677	run4.dat
2617	K+	0.312	0.560	0.527	run6.dat
2618	K+	0.652	0.264	0.014	run8.dat
2619	mu+	0.837	0.898	0.902	run9.dat
2620	e-	0.858	0.030	0.158	run8.dat
2621	p+	0.035	0.258	0.747	run5.dat
2622	p-	0.581	0.585	0.872	run2.dat
2623	mu+	0.050	0.118	0.315	run4.dat
2624	pi+	0.492	0.699	0.410	run2.dat
2625	pi+	0.491	0.729	0.715	run3.dat
2626	p+	0.066	0.065	0.114	run7.dat
2627	mu-	0.234	0.457	0.604	run4.dat
2628	pi-	0.561	0.389	0.793	run5.dat
2629	e-	0.928	0.933	0.610	run7.dat
2630	e-	0.676	0.146	0.137	run1.dat
2631	mu+	0.468	0.688	0.892	run1.dat
2632	e-	0.053	0.147	0.845	run5.dat
2633	p+	0.694	0.499	0.825	run6.dat
2634	pi-	0.488	0.819	0.903	run2.dat
2635	p-	0.130	0.477	0.949	run3.dat
2636	mu+	0.342	0.560	0.579	run7.dat
2637	K+	0.809	0.726	0.181	run8.dat
2638	e-	0.406	0.187	0.438	run6.dat
2639	pi+	0.670	0.325	0.915	run8.dat
2640	mu+	0.831	0.715	0.643	run1.dat
2641	K-	0.810	0.312	0.117	run8.dat
2642	mu+	0.785	0.232	0.636	run8.dat
2643	mu-	0.740	0.573	0.056	run3.dat
2644	p+	0.500	0.134	0.675	run8.dat
2645	p+	0.416	0.865	0.344	run4.dat
2646	mu+	0.637	0.516	0.277	run1.dat
2647	mu-	0.032	0.522	0.373	run3.dat
2648	e-	0.471	0.048	0.055	run1.dat
2649	p+	0.583	0.363	0.654	run5.dat
2650	p-	0.292	0.237	0.145	run8.dat
2651	pi-	0.073	0.360	0.832	run4.dat
2652	e-	0.451	0.631	0.991	run1.dat
2653	mu+	0.914	0.026	0.072	run1.dat
2654	pi+	0.972	0.943	0.930	run7.dat
2655	e-	0.939	0.484	0.526	run3.dat
2656	mu+	0.006	0.484	0.047	run1.dat
2657	K-	0.661	0.302	0.928	run8.dat
2658	pi+	0.045	0.765	0.958	run2.dat
2659	mu-	0.877	0.842	0.154	run7.dat
2660	mu+	0.116	0.948	0.247	run2.dat
2661	p+	0.715	0.972	0.753	run6.dat
2662	K+	0.163	0.284	0.084	run5.dat
2663	e+	0.325	0.522	0.502	run9.dat
2664	p+	0.842	0.291	0.424	run1.dat
2665	e-	0.314	0.151	0.739	run2.dat
2666	pi-	0.454	0.232	0.986	run3.dat
2667	p+	0.363	0.083	0.628	run1.dat
2668	K+	0.636	0.206	0.690	run1.dat
2669	mu+	0.157	0.017	0.803	run5.dat
2670	p+	0.511	0.683	0.082	run2.dat
2671	pi+	0.647	0.425	0.276	run3.dat
2672	p-	0.611	0.315	0.183	run9.dat
2673	mu+	0.984	0.543	0.636	run2.dat
2674	K+	0.294	0.173	0.121	run9.dat
2675	mu+	0.874	0.449	0.949	run1.dat
2676	p+	0.135	0.096	0.798	run3.dat
2677	p+	0.770	0.803	0.599	run5.dat
2678	K-	0.078	0.801	0.218	run9.dat
2679	mu+	0.816	0.023	0.681	run4.dat
2680	pi+	0.766	0.746	0.031	run8.dat
2681	K+	0.088	0.843	0.698	run2.dat
2682	mu+	0.199	0.368	0.090	run8.dat
2683	pi+	0.427	0.421	0.011	run8.dat
2684	e+	0.550	0.161	0.673	run7.dat
2685	K-	0.805	0.546	0.609	run5.dat
2686	K-	0.110	0.309	0.499	run2.dat
2687	K-	0.997	0.682	0.299	run5.dat
2688	K-	0.406	0.277	0.600	run9.dat
2689	pi+	0.427	0.112	0.765	run5.dat
2690	K+	0.624	0.693	0.167	run3.dat
2691	pi+	0.791	0.405	0.795	run5.dat
2692	K+	0.327	0.024	0.742	run9.dat
2693	e-	0.649	0.543	0.630	run6.dat
2694	K-	0.690	0.726	0.658	run6.dat
2695	mu-	0.811	0.666	0.627	run7.dat
2696	pi+	0.268	0.903	0.320	run4.dat
2697	pi+	0.090	0.289	0.456	run4.dat
2698	p+	0.656	0.455	0.122	run1.dat
2699	mu-	0.350	0.552	0.355	run9.dat
2700	mu-	0.733	0.675	0.722	run9.dat
2701	pi+	0.438	0.799	0.102	run3.dat
2702	K-	0.337	0.852	0.591	run1.dat
2703	pi+	0.571	0.881	0.292	run8.dat
2704	p-	0.867	0.841	0.311	run2.dat
2705	mu-	0.255	0.630	0.085	run8.dat
2706	pi-	0.326	0.162	0.486	run5.dat
2707	mu-	0.803	0.930	0.529	run5.dat
2708	p+	0.653	0.366	0.509	run3.dat
2709	p+	0.523	0.731	0.881	run6.dat
2710	e+	0.339	0.115	0.769	run3.dat
2711	e+	0.330	0.224	0.368	run6.dat
2712	mu-	0.045	0.150	0.415	run4.dat
2713	mu+	0.282	0.275	0.155	run9.dat
2714	e+	0.302	0.376	0.802	run1.dat
2715	mu+	0.913	0.144	0.091	run5.dat
2716	e+	0.678	0.723	0.322	run7.dat
2717	p+	0.462	0.521	0.018	run9.dat
2718	K+	0.461	0.372	0.760	run2.dat
2719	K+	0.683	0.953	0.535	run5.dat
2720	pi-	0.626	0.746	0.563	run8.dat
2721	pi+	0.673	0.256	0.366	run2.dat
2722	p-	0.626	0.036	0.483	run7.dat
2723	e-	0.839	0.767	0.515	run5.dat
2724	mu-	0.305	0.094	0.779	run1.dat
2725	p-	0.077	0.814	0.275	run8.dat
2726	p+	0.567	0.917	0.105	run3.dat
2727	e-	0.539	0.202	0.037	run7.dat
2728	mu+	0.291	0.818	0.909	run8.dat
2729	mu-	0.534	0.039	0.955	run8.dat
2730	pi-	0.212	0.041	0.832	run8.dat
2731	p+	0.599	0.318	0.820	run9.dat
2732	p+	0.455	0.535	0.066	run5.dat
2733	p+	0.454	0.821	0.885	run4.dat
2734	mu-	0.201	0.340	0.550	run9.dat
2735	pi-	0.009	0.509	0.471	run3.dat
2736	e+	0.693	0.355	0.608	run4.dat
2737	pi-	0.442	0.023	0.138	run3.dat
2738	K+	0.554	0.753	0.068	run7.dat
2739	pi-	0.652	0.602	0.275	run2.dat
2740	mu-	0.149	0.266	0.548	run4.dat
2741	pi+	0.675	0.505	0.120	run3.dat
2742	mu-	0.925	0.314	0.378	run7.dat
2743	e-	0.098	0.874	0.852	run3.dat
2744	K+	0.211	0.460	0.925	run4.dat
2745	pi-	0.379	0.277	0.855	run3.dat
2746	pi-	0.816	0.917	0.210	run8.dat
2747	mu+	0.207	0.630	0.849	run6.dat
2748	e-	0.737	0.811	0.642	run6.dat
2749	K+	0.386	0.264	0.131	run1.dat
2750	pi-	0.261	0.364	0.655	run9.dat
2751	pi-	0.583	0.330	0.431	run6.dat
2752	e+	0.468	0.245	0.546	run1.dat
2753	mu-	0.151	0.670	0.889	run4.dat
2754	e-	0.700	0.485	0.492	run1.dat
2755	p+	0.898	0.530	0.430	run9.dat
2756	pi+	0.917	0.717	0.806	run9.dat
2757	pi-	0.821	0.710	0.914	run8.dat
2758	p-	0.497	0.865	0.844	run4.dat
2759	K-	0.514	0.356	0.277	run9.dat
2760	e-	0.117	0.045	0.823	run1.dat
2761	p-	0.054	0.361	0.749	run4.dat
2762	e+	0.061	0.733	0.944	run2.dat
2763	e+	0.414	0.734	0.970	run8.dat
2764	mu-	0.831	0.623	0.041	run3.dat
2765	K+	0.882	0.001	0.155	run6.dat
2766	e+	0.852	0.334	0.256	run8.dat
2767	p-	0.047	0.740	0.134	run5.dat
2768	mu-	0.216	0.237	0.123	run4.dat
2769	p+	0.730	0.684	0.845	run3.dat
2770	pi+	0.687	0.468	0.233	run6.dat
2771	K+	0.967	0.951	0.845	run5.dat
2772	e-	0.981	0.454	0.078	run2.dat
2773	pi-	0.303	0.270	0.293	run6.dat
2774	p-	0.280	0.667	0.223	run8.dat
2775	mu+	0.188	0.401	0.646	run2.dat
2776	pi+	0.276	0.508	0.079	run4.dat
2777	e+	0.762	0.914	0.360	run5.dat
2778	p+	0.401	0.563	0.662	run8.dat
2779	p-	0.712	0.195	0.886	run6.dat
2780	p-	0.347	0.427	0.961	run6.dat
2781	p+	0.954	0.931	0.677	run7.dat
2782	e+	0.872	0.132	0.560	run8.dat
2783	mu+	0.657	0.479	0.050	run4.dat
2784	K+	0.976	0.392	0.919	run2.dat
2785	p-	0.592	0.470	0.416	run8.dat
2786	mu+	0.931	0.483	0.237	run7.dat
2787	p+	0.012	0.922	0.489	run2.dat
2788	K-	0.608	0.829	0.774	run9.dat
2789	e+	0.309	0.905	0.940	run5.dat
2790	p-	0.224	0.267	0.700	run7.dat
2791	e-	0.583	0.152	0.140	run6.dat
2792	e+	0.740	0.938	0.717	run1.dat
2793	mu-	0.431	0.386	0.671	run7.dat
2794	e+	0.074	0.610	0.433	run3.dat
2795	e+	0.329	0.511	0.592	run7.dat
2796	K+	0.205	0.298	0.487	run2.dat
2797	e+	0.648	0.599	0.608	run5.dat
2798	mu-	0.057	0.619	0.909	run2.dat
2799	p+	0.645	0.834	0.835	run5.dat
2800	e-	0.194	0.494	0.810	run4.dat
2801	p+	0.787	0.177	0.294	run5.dat
2802	e+	0.837	0.414	0.457	run4.dat
2803	mu+	0.908	0.573	0.664	run5.dat
2804	pi+	0.941	0.317	0.046	run4.dat
2805	mu+	0.367	0.568	0.202	run2.dat
2806	K-	0.114	0.374	0.508	run1.dat
2807	mu-	0.553	0.582	0.990	run1.dat
2808	mu+	0.262	0.892	0.730	run8.dat
2809	pi-	0.017	0.070	0.164	run3.dat
2810	p-	0.610	0.690	0.200	run8.dat
2811	pi-	0.885	0.980	0.687	run2.dat
2812	e-	0.533	0.408	0.878	run6.dat
2813	e+	0.881	0.150	0.894	run9.dat
2814	pi+	0.879	0.852	0.692	run5.dat
2815	p+	0.897	0.041	0.524	run7.dat
2816	K+	0.535	0.607	0.712	run2.dat
2817	pi-	0.603	0.440	0.817	run6.dat
2818	p-	0.764	0.020	0.344	run9.dat
2819	e+	0.350	0.007	0.830	run2.dat
2820	pi-	0.300	0.353	0.179	run9.dat
2821	mu+	0.565	0.310	0.543	run4.dat
2822	mu-	0.696	0.097	0.966	run6.dat
2823	e-	0.692	0.954	0.308	run7.dat
2824	pi-	1.000	0.475	0.983	run5.dat
2825	e+	0.977	0.165	0.934	run8.dat
2826	mu-	0.453	0.879	0.220	run3.dat
2827	pi-	0.913	0.337	0.852	run2.dat
2828	p+	0.491	0.158	0.701	run3.dat
2829	p+	0.841	0.224	0.847	run5.dat
2830	e+	0.887	0.040	0.317	run7.dat
2831	K-	0.748	0.062	0.309	run3.dat
2832	mu+	0.997	0.862	0.222	run4.dat
2833	e-	0.554	0.990	0.533	run6.dat
2834	mu+	0.817	0.504	0.918	run4.dat
2835	p-	0.038	0.125	0.318	run5.dat
2836	e+	0.273	0.824	0.699	run9.dat
2837	pi+	0.716	0.646	0.426	run7.dat
2838	mu+	0.118	0.798	0.256	run1.dat
2839	p-	0.741	0.960	0.904	run4.dat
2840	e+	0.529	0.042	0.026	run1.dat
2841	e+	0.064	0.080	0.094	run8.dat
2842	p-	0.771	0.445	0.439	run6.dat
2843	pi-	0.409	0.234	0.694	run6.dat
2844	e-	0.404	0.835	0.663	run2.dat
2845	mu+	0.836	0.143	0.657	run1.dat
2846	pi-	0.778	0.641	0.179	run7.dat
2847	e-	0.725	0.323	0.340	run7.dat
2848	K+	0.874	0.912	0.621	run1.dat
2849	K+	0.569	0.747	0.625	run5.dat
2850	mu+	0.550	0.841	0.388	run2.dat
2851	pi-	0.009	0.127	0.233	run5.dat
2852	pi-	0.646	0.275	0.703	run1.dat
2853	mu-	0.280	0.538	0.258	run2.dat
2854	mu-	0.376	0.758	0.790	run7.dat
2855	mu-	0.775	0.010	0.769	run8.dat
2856	mu+	0.640	0.590	0.188	run8.dat
2857	K-	0.298	0.686	0.029	run2.dat
2858	pi-	0.659	0.066	0.892	run1.dat
2859	K+	0.203	0.938	0.181	run5.dat
2860	mu-	0.638	0.045	0.091	run6.dat
2861	K-	0.270	0.721	0.867	run3.dat
2862	K+	0.786	0.291	0.305	run5.dat
2863	p-	0.616	0.329	0.418	run6.dat
2864	e+	0.379	0.729	0.228	run2.dat
2865	p-	0.105	0.054	0.956	run3.dat
2866	e+	0.984	0.391	0.377	run1.dat
2867	p-	0.199	0.817	0.629	run7.dat
2868	pi+	0.408	0.526	0.029	run3.dat
2869	p+	0.507	0.448	0.635	run8.dat
2870	p-	0.759	0.579	0.506	run4.dat
2871	K-	0.724	0.917	0.471	run1.dat
2872	e-	0.949	0.968	0.819	run9.dat
2873	pi-	0.470	0.113	0.365	run9.dat
2874	e+	0.092	0.995	0.180	run2.dat
2875	mu-	0.203	0.452	0.189	run2.dat
2876	K-	0.340	0.951	0.991	run2.dat
2877	p+	0.267	0.894	0.243	run9.dat
2878	K+	0.548	0.564	0.908	run5.dat
2879	K-	0.981	0.352	0.255	run6.dat
2880	mu+	0.556	0.103	0.328	run8.dat
2881	p+	0.668	0.314	0.719	run6.dat
2882	mu+	0.094	0.187	0.496	run7.dat
2883	pi+	0.505	0.048	0.196	run5.dat
2884	e+	0.836	0.296	0.915	run7.dat
2885	e+	0.181	0.894	0.589	run7.dat
2886	mu+	0.511	0.403	0.865	run1.dat
2887	K+	0.785	0.813	0.146	run6.dat
2888	mu-	0.698	0.971	0.120	run2.dat
2889	e+	0.403	0.329	0.035	run8.dat
2890	e-	0.508	0.755	0.365	run5.dat
2891	e-	0.745	0.237	0.713	run9.dat
2892	e-	0.221	0.214	0.994	run4.dat
2893	mu-	0.329	0.330	0.350	run4.dat
2894	e-	0.414	0.740	0.031	run8.dat
2895	K+	0.277	0.510	0.035	run9.dat
2896	mu+	0.205	0.631	0.046	run1.dat
2897	mu-	0.724	0.745	0.580	run5.dat
2898	mu-	0.515	0.144	0.884	run1.dat
2899	pi+	0.905	0.213	0.718	run7.dat
2900	pi+	0.050	0.473	0.857	run1.dat
2901	pi+	0.797	0.982	0.685	run6.dat
2902	p-	0.984	0.224	0.868	run8.dat
2903	mu-	0.105	0.145	0.688	run9.dat
2904	p+	0.620	0.540	0.182	run4.dat
2905	p+	0.130	0.173	0.665	run4.dat
2906	pi+	0.445	0.689	0.152	run3.dat
2907	pi+	0.033	0.327	0.504	run3.dat
2908	e-	0.201	0.390	0.939	run5.dat
2909	K-	0.145	0.326	0.366	run8.dat
2910	pi+	0.930	0.603	0.089	run1.dat
2911	mu+	0.616	0.914	0.673	run5.dat
2912	p-	0.643	0.693	0.323	run7.dat
2913	p-	0.988	0.866	0.272	run4.dat
2914	K-	0.641	0.113	0.851	run6.dat
2915	p-	0.612	0.809	0.909	run6.dat
2916	K+	0.039	0.241	0.314	run2.dat
2917	K-	0.037	0.169	0.494	run2.dat
2918	mu+	0.032	0.239	0.396	run2.dat
2919	p+	0.232	0.042	0.235	run7.dat
2920	mu-	0.287	0.729	0.756	run4.dat
2921	p+	0.814	0.996	0.575	run9.dat
2922	p-	0.524	0.372	0.320	run7.dat
2923	p-	0.815	0.917	0.973	run5.dat
2924	pi+	0.441	0.102	0.997	run2.dat
2925	pi+	0.946	0.935	0.587	run7.dat
2926	e+	0.240	0.743	0.131	run3.dat
2927	mu+	0.295	0.419	0.020	run9.dat
2928	pi-	0.794	0.711	0.394	run2.dat
2929	e+	0.604	0.015	0.312	run1.dat
2930	mu-	0.288	0.100	0.222	run6.dat
2931	K-	0.586	0.497	0.334	run5.dat
2932	mu-	0.825	0.005	0.923	run9.dat
2933	e+	0.821	0.311	0.529	run7.dat
2934	e-	0.809	0.784	0.637	run1.dat
2935	e+	0.104	0.514	0.727	run9.dat
2936	e-	0.846	0.622	0.342	run3.dat
2937	pi-	0.708	0.191	0.494	run2.dat
2938	K-	0.939	0.872	0.672	run4.dat
2939	e-	0.692	0.199	0.727	run2.dat
2940	mu-	0.058	0.866	0.779	run9.dat
2941	K-	0.013	0.629	0.785	run1.dat
2942	mu-	0.523	0.980	0.175	run9.dat
2943	K-	0.925	0.361	0.171	run3.dat
2944	e+	0.902	0.018	0.369	run5.dat
2945	mu-	0.538	0.254	0.709	run6.dat
2946	pi-	0.645	0.939	0.264	run7.dat
2947	mu-	0.896	0.383	0.860	run2.dat
2948	K+	0.241	0.854	0.574	run7.dat
2949	e+	0.341	0.027	0.567	run1.dat
2950	p-	0.879	0.716	0.116	run4.dat
2951	mu+	0.127	0.714	0.600	run9.dat
2952	mu-	0.217	0.560	0.455	run6.dat
2953	K-	0.778	0.729	0.102	run1.dat
2954	pi-	0.534	0.552	0.196	run2.dat
2955	p+	0.951	0.214	0.992	run2.dat
2956	p+	0.355	0.585	0.231	run2.dat
2957	mu-	0.104	0.063	0.696	run6.dat
2958	pi-	0.308	0.860	0.228	run6.dat
2959	p+	0.552	0.270	0.099	run7.dat
2960	K-	0.433	0.579	0.911	run9.dat
2961	mu-	0.470	0.094	0.730	run8.dat
2962	mu+	0.371	0.211	0.475	run8.dat
2963	pi-	0.443	0.788	0.101	run6.dat
2964	e+	0.125	0.392	0.894	run4.dat
2965	pi-	0.253	0.156	0.253	run2.dat
2966	mu-	0.978	0.262	0.615	run8.dat
2967	pi+	0.875	0.379	0.131	run9.dat
2968	pi+	0.597	0.890	0.889	run5.dat
2969	mu-	0.736	0.315	0.933	run8.dat
2970	mu+	0.132	0.516	0.977	run6.dat
2971	p-	0.862	0.225	0.546	run9.dat
2972	K-	0.225	0.949	0.117	run3.dat
2973	K+	0.516	0.014	0.585	run8.dat
2974	e+	0.185	0.453	0.891	run1.dat
2975	pi-	0.845	0.508	0.464	run1.dat
2976	p-	0.691	0.218	0.201	run2.dat
2977	mu-	0.646	0.972	0.335	run8.dat
2978	K-	0.776	0.000	0.033	run8.dat
2979	e+	0.304	0.180	0.585	run8.dat
2980	pi-	0.150	0.481	0.355	run6.dat
2981	e+	0.704	0.468	0.234	run6.dat
2982	pi-	0.047	0.355	0.248	run6.dat
2983	p+	0.607	0.436	0.296	run4.dat
2984	pi-	0.456	0.620	0.084	run9.dat
2985	e+	0.384	0.517	0.831	run1.dat
2986	p-	0.710	0.676	0.100	run6.dat
2987	pi+	0.446	0.792	0.932	run8.dat
2988	p-	0.671	0.025	0.326	run2.dat
2989	p+	0.917	0.412	0.811	run2.dat
2990	K+	0.490	0.785	0.820	run1.dat
2991	p+	0.901	0.562	0.080	run2.dat
2992	pi-	0.305	0.792	0.582	run7.dat
2993	K+	0.271	0.916	0.814	run2.dat
2994	K+	0.936	0.369	0.116	run1.dat
2995	K+	0.995	0.209	0.477	run9.dat
2996	pi+	0.512	0.547	0.996	run5.dat
2997	K+	0.137	0.782	0.743	run8.dat
2998	K-	0.668	0.943	0.782	run2.dat
2999	e-	0.664	0.032	0.874	run4.dat
